,Play,Expert,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Odds,Units,Payout,Profit,Name,Correct,Actual Value
88,D.Lillard o12.5 Rebs+Ast,KyleJustBets,Milwaukee Bucks,Atlanta Hawks,0.0,0.3902439024390244,0,0.4,0,0.4,0,-115,1.0,1.869565217391304,0.8695652173913042,D.Lillard,Y,19.0
89,J.Walter o3.5 Rebs,TopShelfAction,Toronto Raptors,Oklahoma City Thunder,0.0,0.1875,0,0.4,0,0.2,0,-110,0.9,1.7181818181818185,0.8181818181818182,J.Walter,N,2.0
90,I.Collier o10.5 Rebs+Ast,KyleJustBets,Utah Jazz,Phoenix Suns,0.0,0.3658536585365853,0,0.6,1,0.6,1,-150,1.25,2.083333333333333,0.833333333333333,I.Collier,Y,17.0
91,M.Beasley o16.5 Pts,Rotowire Sleeper,Detroit Pistons,Philadelphia 76ers,1.0,0.5882352941176471,1,0.6,1,0.7,1,100,1.5,3.0,1.5,M.Beasley,Y,36.0
92,C.Holmgren o10.5 Pts,Rotowire Prizepicks,Oklahoma City Thunder,Toronto Raptors,1.0,0.7,1,0.6,1,0.7,1,100,1.5,3.0,1.5,C.Holmgren,N,4.0
93,N.Jovic o16.5 Pts+Ast,ThePropfessor_,Miami Heat,Brooklyn Nets,0.0,0.35,0,0.8,1,0.8,1,-118,1.18,2.18,0.9999999999999998,N.Jovic,N,12.0
94,J.Duren o21.5 Pts+Rebs,Rotowire Sleeper,Detroit Pistons,Philadelphia 76ers,1.0,0.4583333333333333,0,0.8,1,0.8,1,100,1.5,3.0,1.5,J.Duren,Y,26.0
95,I.Joe o13.5 Pts+Rebs,Rotowire Sleeper,Oklahoma City Thunder,Toronto Raptors,1.0,0.4444444444444444,0,0.8,1,0.6,1,100,1.5,3.0,1.5,I.Joe,Y,18.0
96,I.Hartenstein o24.5 Pts+Rebs+Ast,Rotowire Prizepicks,Oklahoma City Thunder,Toronto Raptors,1.0,0.7586206896551724,1,0.6,1,0.5,0,100,1.5,3.0,1.5,I.Hartenstein,N,20.0
97,C.Holmgren o12.5 Pts+Ast,Rotowire Sleeper,Oklahoma City Thunder,Toronto Raptors,1.0,0.8,1,0.8,1,0.8,1,100,1.5,3.0,1.5,C.Holmgren,N,5.0
98,C.Holmgren o18.5 Pts+Rebs+Ast,Rotowire Sleeper,Oklahoma City Thunder,Toronto Raptors,1.0,0.8,1,0.8,1,0.8,1,100,1.5,3.0,1.5,C.Holmgren,N,10.0
99,J.Collins o25.5 Pts+Rebs,Rotowire Prizepicks,Utah Jazz,Phoenix Suns,0.0,0.40625,0,0.4,0,0.4,0,100,1.5,3.0,1.5,J.Collins,Y,27.0
100,W.Kessler o10.5 Pts,Rotowire Sleeper,Utah Jazz,Phoenix Suns,0.0,0.5384615384615384,1,0.4,0,0.6,1,100,1.5,3.0,1.5,W.Kessler,Y,19.0
101,W.Kessler o23.5 Pts+Rebs+Ast,Rotowire Prizepicks,Utah Jazz,Phoenix Suns,0.0,0.5641025641025641,1,0.4,0,0.6,1,100,1.5,3.0,1.5,W.Kessler,Y,45.0
102,K.George o5.5 Ast,TopShelfAction_duplicate,Washington Wizards,Cleveland Cavaliers,1.0,0.0222222222222222,0,0.0,0,0.0,0,115,1.2,2.58,1.3799999999999997,K.George,N,2.0
103,K.George o5.5 Ast,TopShelfAction_duplicate,Utah Jazz,Phoenix Suns,0.0,0.5384615384615384,1,0.6,1,0.6,1,115,1.2,2.58,1.3799999999999997,K.George,N,4.0
104,W.Kessler o12.5 Rebs+Ast,Rotowire Sleeper,Utah Jazz,Phoenix Suns,0.0,0.5384615384615384,1,0.6,1,0.7,1,100,1.5,3.0,1.5,W.Kessler,Y,26.0
105,K.George o16.5 Pts,TopShelfAction_duplicate,Washington Wizards,Cleveland Cavaliers,1.0,0.0888888888888888,0,0.2,0,0.1,0,104,1.0,2.04,1.04,K.George,Y,17.0
106,K.George o16.5 Pts,TopShelfAction_duplicate,Utah Jazz,Phoenix Suns,0.0,0.4102564102564102,0,0.4,0,0.4,0,104,1.0,2.04,1.04,K.George,Y,18.0
107,M.Morris u7.5 Pts,Rotowire Prizepicks_duplicate,Phoenix Suns,Utah Jazz,1.0,0.6842105263157895,1,1.0,1,1.0,1,100,1.5,3.0,1.5,M.Morris,Y,5.0
